id	ctrl-1_fpkm	ctrl-2_fpkm	ctrl-3_fpkm	primed-1_fpkm	primed-2_fpkm	primed-3_fpkm	Symbol
ENSG00000000003	12.35	10.62	11.01	9.46	8.73	8.29	TSPAN6
ENSG00000000005	0	0	0	0	0	0.05	TNMD
ENSG00000000419	40	36.92	37.16	48.95	43.75	48.01	DPM1
ENSG00000000457	2.57	3.11	2.46	5.04	5.01	4.96	SCYL3
ENSG00000000460	12.21	12.32	13.22	15.09	11.42	15.15	C1orf112
ENSG00000000938	0	0	0.02	0	0	0	FGR
ENSG00000000971	20.17	19.84	18.73	137.44	122.84	131.52	CFH
ENSG00000001036	56.84	63.71	59.73	47.11	40.54	47.93	FUCA2
ENSG00000001084	7.84	5.88	5.99	6.65	5.93	6.78	GCLC
ENSG00000001167	16.42	16.85	17.6	16.81	13.95	14.46	NFYA
ENSG00000001460	5.82	5.54	6.2	3.33	3.53	3.51	STPG1
ENSG00000001461	19.7	22.86	21.07	6.48	6.53	7.01	NIPAL3
ENSG00000001497	19.49	21.65	21.53	17.18	16.02	16.99	LAS1L
ENSG00000001561	0.37	0.09	0.12	0.19	0.14	0.18	ENPP4
ENSG00000001617	0.29	0.18	0.15	0.17	0.07	0.16	SEMA3F
ENSG00000001626	0	0	0	0	0	0	CFTR
ENSG00000001629	20.96	17.05	15.67	20.18	16.92	18.89	ANKIB1
ENSG00000001630	21.33	21.33	20.81	25.26	23.01	23.06	CYP51A1
ENSG00000001631	15.74	12.31	11.76	9.32	13.63	9.55	KRIT1
ENSG00000002016	2.75	2.76	2.38	1.75	2.02	1.92	RAD52
ENSG00000002330	21.55	23.56	23.79	16.05	18.4	17.88	BAD
ENSG00000002549	35.32	40.87	41.28	477.87	452.89	481.18	LAP3
ENSG00000002586	352.95	386.67	389.28	257.81	272.4	286.1	CD99
ENSG00000002587	0.33	0.28	1.09	0.01	0.05	0.01	HS3ST1
ENSG00000002726	0	0	0	0	0	0	AOC1
ENSG00000002745	0.02	0	0.04	0.04	0.02	0.05	WNT16
ENSG00000002746	0.22	0.26	0.33	0.1	0.2	0.06	HECW1
ENSG00000002822	9.01	10.06	7.3	7.05	6.22	7.35	MAD1L1
ENSG00000002834	114.06	123.35	119.69	101.82	98.59	99.98	LASP1
ENSG00000002919	8.75	8.42	7.83	9.47	9.76	9.63	SNX11
ENSG00000002933	0	0	0	0	0	0	TMEM176A
ENSG00000003056	60.9	60.22	67.85	80.47	78.79	81.68	M6PR
ENSG00000003096	0.21	0.25	0.28	0.05	0.02	0	KLHL13
ENSG00000003137	0.03	0.03	0.04	0.04	0.01	0.03	CYP26B1
ENSG00000003147	0.26	0.04	0.04	0	0.04	0	ICA1
ENSG00000003249	1.61	2.41	2.06	0.2	0.54	0.78	DBNDD1
ENSG00000003393	9.83	9.11	9.22	6.99	7.33	7.31	ALS2
ENSG00000003400	0.18	0.48	0.42	3.06	2.31	2.88	CASP10
ENSG00000003402	9.96	10.21	10.14	44.12	39.76	45.25	CFLAR
ENSG00000003436	52.2	49.42	46.82	28.39	27.13	28.06	TFPI
ENSG00000003509	5.9	5.43	6	6.73	5.58	4.66	NDUFAF7
ENSG00000003756	27.35	27.69	29.9	25.54	22.6	24.36	RBM5
ENSG00000003987	0.65	0.39	0.45	0.22	0.48	0.38	MTMR7
ENSG00000003989	2.5	2.56	2.36	3.1	3.41	2.99	SLC7A2
ENSG00000004059	38.13	38.11	37.93	28.34	28.15	31.23	ARF5
ENSG00000004139	3.1	2.93	2.16	2.26	1.52	2.24	SARM1
ENSG00000004142	41.5	45.52	49.29	36.82	35.28	35.73	POLDIP2
ENSG00000004399	30.92	36.71	34.82	13.07	12.05	14.2	PLXND1
ENSG00000004455	100.62	106.03	102.18	119.55	122.13	115.93	AK2
ENSG00000004468	0.01	0	0	1.63	1.23	2.2	CD38
ENSG00000004478	34.9	38.62	33.28	40.13	38.69	41.89	FKBP4
ENSG00000004487	46.96	43.97	45.87	33.9	29.8	29.91	KDM1A
ENSG00000004534	16.63	19.6	18.75	14.26	11.92	12.26	RBM6
ENSG00000004660	4.65	3.84	4.09	1.53	1.54	1.65	CAMKK1
ENSG00000004700	47.25	46.45	45.68	64.14	59.07	66.76	RECQL
ENSG00000004766	7.82	7.74	7.56	8.02	7.7	7.8	VPS50
ENSG00000004776	93.84	94.4	96.48	26.8	33.35	26.68	HSPB6
ENSG00000004777	2.19	1.37	2.27	0.86	0.59	1.67	ARHGAP33
ENSG00000004779	93.37	102.52	102.32	104.26	100.74	110.39	NDUFAB1
ENSG00000004799	0.08	0.12	0.06	0	0.03	0	PDK4
ENSG00000004809	0	0.16	0	0	0.06	0	SLC22A16
ENSG00000004838	0.11	0.22	0.09	0.17	0.12	0.06	ZMYND10
ENSG00000004846	0	0	0	0	0	0	ABCB5
ENSG00000004848	0	0	0	0	0	0	ARX
ENSG00000004864	8.66	8.49	8.14	8.88	9.28	10.38	SLC25A13
ENSG00000004866	12.11	12.61	11.28	8.84	10.58	9.01	ST7
ENSG00000004897	81.12	77.43	81	81.95	75.83	84.04	CDC27
ENSG00000004939	0	0	0	0	0	0	SLC4A1
ENSG00000004948	0.41	0	0	0.04	0.02	0	CALCR
ENSG00000004961	15.23	19.77	18.77	24.01	24.5	22.27	HCCS
ENSG00000004975	12.79	14.28	13.76	10.73	9.66	9.31	DVL2
ENSG00000005001	0	0.13	0	0	0	0	PRSS22
ENSG00000005007	21.43	23.49	21.93	14.83	14.81	14.48	UPF1
ENSG00000005020	11.31	9.84	9.98	7	7.33	7.93	SKAP2
ENSG00000005022	149.94	165.03	152.55	142.46	137.09	142.82	SLC25A5
ENSG00000005059	11.54	11.95	11.31	23.69	23.41	22.89	MCUB
ENSG00000005073	12.11	13.89	13.56	5.59	5.5	5.37	HOXA11
ENSG00000005075	29.02	32.75	33.38	28.93	31.19	36.49	POLR2J
ENSG00000005100	8.66	9.89	7.6	6.15	5.74	5.71	DHX33
ENSG00000005102	0	0	0	0	0.02	0	MEOX1
ENSG00000005108	0.89	0.77	0.71	0.01	0	0.01	THSD7A
ENSG00000005156	12.74	13.12	13.45	9.44	10.45	6.51	LIG3
ENSG00000005175	19.3	19.65	18.21	20.88	20.1	20.45	RPAP3
ENSG00000005187	0	0	0	0	0.17	0.03	ACSM3
